Time,CPU Temperature,CPU Usage,,,,,,,
31:15.9,77,87.1,,,,,,,
31:17.0,77,89.9,,,,,,,
31:18.0,77,89.1,,,,,,,
31:19.0,77,89.4,,,,,,,
31:20.0,77,89.4,,,,,,,
31:21.0,77,90.3,,,,,,,
31:22.0,77,88.7,,,,,,,
31:23.0,77,87.5,,,,,,,
31:24.0,77,90.7,,,,,,,
31:25.0,77,88,,,,,,,
31:26.0,77,87.8,,,,,,,
31:27.1,77,89.2,,,,,,,
31:28.1,77,87.7,,,,,,,
31:29.1,77,88.1,,,,,,,
31:30.1,77,91.2,,,,,,,
31:31.1,77,85.2,,,,,,,
31:32.1,77,85.6,,,,,,,
31:33.1,77,81.2,,,,,,,
31:34.1,77,80.9,,,,,,,
31:35.2,77,82.4,,,,,,,
31:36.2,77,79.3,,,,,,,
31:37.2,77,78.9,,,,,,,
31:38.2,77,79.9,,,,,,,
31:39.2,77,82.7,,,,,,,
31:40.2,78,82.2,,,,,,,
31:41.2,78,49,,,,,,,
31:42.2,78,46.7,,,,,,,
31:43.2,77,28.2,,,,,,,
31:44.2,76,28,,,,,,,
31:45.2,76,30.1,,,,,,,
31:46.3,75,12.8,,,,,,,
31:47.3,74,12.3,,,,,,,
31:48.3,73,12.6,,,,,,,
31:49.3,73,13.9,,,,,,,
31:50.3,72,11.8,,,,,,,
31:51.3,72,12.8,,,,,,,
31:52.3,71,13.9,,,,,,,
